"country","countryiso3","SL.EMP.VULN.FE.ZS_2013","SL.EMP.VULN.FE.ZS_2014","SL.EMP.VULN.FE.ZS_2015","SL.EMP.VULN.FE.ZS_2016","SL.EMP.VULN.FE.ZS_2017","SL.EMP.VULN.FE.ZS_2018","SL.EMP.VULN.FE.ZS_2019"
"Korea, Dem. People’s Rep.","PRK",93.9649982452393,93.9349975585937,93.8930034637452,93.8950004577637,93.8179988861084,93.794002532959,93.7779960632324
"Korea, Rep.","KOR",21.914999961853,21.2309999465942,20.1240005493164,19.3659992218018,19.246000289917,19.0920000076294,18.827000617981
"Kuwait","KWT",0.122000001370907,0.0629999991506338,0.0379999985452741,0.0230000000447035,0.0239999992772937,0.0249999994412065,0.0249999994412065
"Kyrgyz Republic","KGZ",38.9220008850098,38.1730003356934,33.9580001831055,30.778000831604,27.9029998779297,27.7739992141723,27.58899974823
"Lao PDR","LAO",88.3339996337891,88.1609992980957,87.9869995117187,87.8049964904785,87.6220016479492,87.4440002441407,87.2590026855469
"Late-demographic dividend","LTE",47.5573073997937,46.5611245807438,45.6260662727391,44.8253480818693,43.9863285147721,43.3133272397747,42.9879504734389
"Latin America & Caribbean","LCN",32.2342210464691,31.8623748528236,32.2019069493903,32.6053087227383,33.0160987406261,33.3010987364749,33.2755420043015
"Latin America & Caribbean (excluding high income)","LAC",32.8465440996668,32.436921423474,32.7985741750552,33.1788079284095,33.6114560108734,33.9041099758998,33.8852925886759
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",32.7974418001157,32.3596982282587,32.7033509570615,33.1157538843806,33.5267918604412,33.8044818602548,33.7733088505419
"Latvia","LVA",6.42400020360946,6.43200021982193,6.91100007295609,7.40300017595291,7.25900015234947,7.0350002348423,6.9559998512268
"Least developed countries: UN classification","LDC",84.8399342369005,84.2943211778885,83.8273746891279,83.5459485902806,82.9591029341235,82.7833363319513,82.6123205785079
"Lebanon","LBN",14.753999710083,14.6209998130798,14.4959998130798,14.378999710083,14.2639999389649,14.1470003128052,14.0210003852844
"Lesotho","LSO",19.8650000095367,19.7729995250702,19.6679999828338,19.5739994049072,19.5050008296967,19.4630007743835,19.3900005817413
"Liberia","LBR",89.5120010375977,89.7439985275268,89.9870023727417,90.2150039672851,90.1520013809204,90.1100015640259,90.1079988479615
"Libya","LBY",4.20499986410141,4.13900005817414,4.26300007104874,4.27100002765656,4.5,4.33399999141693,4.19999998807907
"Lithuania","LTU",8.442999958992,8.93500006198883,8.69599997997284,8.1360000371933,8.0110000371933,7.74099999666214,7.61299985647201
"Low & middle income","LMY",58.1527439766581,57.4031934990572,56.7295565968827,56.1384340115786,55.6625181928532,55.2626188448017,55.1812328537172
"Low income","LIC",88.4137172306671,88.2296568852263,88.082587997535,87.951053269535,87.7869439542469,87.6482419236647,87.5158683550513
"Lower middle income","LMC",72.4269881347829,71.515896232766,70.5591030114431,69.5391882113888,68.8676994777113,68.2302394302697,68.0406267112773
"Luxembourg","LUX",6.18699979782104,6.10700023174286,6.37500011920929,6.13199985027313,6.6230000257492,5.55199980735779,5.51500004529953
"Macao SAR, China","MAC",2.21200001239776,2.3870000243187,2.32000005245208,2.02499997615814,1.93899995088577,1.9079999923706,1.92600002884864
"Madagascar","MDG",90.3139991760254,90.1669979095459,90.0030002593994,89.8780021667481,89.742000579834,89.5929985046387,89.4500007629395
"Malawi","MWI",66.2730016708374,66.0620017051697,65.9169988632203,65.7759990692139,65.5960006713867,65.4240002632141,65.2659993171692
"Malaysia","MYS",23.3889999389648,23.4229993820191,25.3609991073608,25.100998878479,24.8280005455017,24.5739989280701,24.3189997673035
"Maldives","MDV",41.3910007476807,40.8400001525879,36.9479999542236,33.5340008735656,33.871000289917,34.2320008277893,34.4640007019043
