"CountryName","CountryCode","Date","S1_School closing","S1_IsGeneral","S1_Notes","S2_Workplace closing","S2_IsGeneral","S2_Notes","S3_Cancel public events","S3_IsGeneral","S3_Notes","S4_Close public transport","S4_IsGeneral","S4_Notes","S5_Public information campaigns","S5_IsGeneral","S5_Notes","S6_Restrictions on internal movement","S6_IsGeneral","S6_Notes","S7_International travel controls","S7_Notes","S8_Fiscal measures","S8_Notes","S9_Monetary measures","S9_Notes","S10_Emergency investment in health care","S10_Notes","S11_Investment in Vaccines","S11_Notes","ConfirmedCases","ConfirmedDeaths","StringencyIndex","...35"
"Iceland","ISL",20200321,2,1,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,1,NA,0,NA,NA,2,"https://www.landlaeknir.is/um-embaettid/frettir/frett/item39945/Utvikkun-ahaettusvaeda-vegna-COVID-19",1.6e+09,NA,1.75,"1.75% https://tradingeconomics.com/iceland/interest-rate",NA,NA,NA,NA,409,1,38,NA
"Israel","ISR",20200321,2,1,"https://www.timesofisrael.com/israel-closes-schools-universities-as-netanyahu-issues-dire-coronavirus-warning/",2,1,"From Hebrew: 'The public sector moves to emergency mode, the private sector to reduced mode'
https://www.globes.co.il/news/article.aspx?did=1001322085",2,1,"Gatherings of above 10 people are banned - meaning in practice all public events are cancelled.
https://www.timesofisrael.com/no-more-daycare-restaurants-gyms-or-prayer-quorums-the-new-virus-regulations/",1,1,"'[The Health Ministry] recommended that people refrain as much as possible from using public transportation.' https://www.timesofisrael.com/no-more-daycare-restaurants-gyms-or-prayer-quorums-the-new-virus-regulations/",1,1,"The coronavirus was communicated by the government and media since late January, but official awareness campaign by ads was launched on Feb 9: https://www.youtube.com/watch?v=19IGaFdDvt4",2,1,NA,3,NA,2535084000,NA,0.25,"https://tradingeconomics.com/israel/interest-rate",281676000,"https://www.maariv.co.il/corona/corona-israel/Article-753391 'Netanyahu: we'll dedicate 10 billion shekels to deal with the crisis'",NA,NA,712,1,95,NA
"Italy","ITA",20200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47021,4032,NA,NA
"Jamaica","JAM",20200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,NA,NA
"Jordan","JOR",20200321,2,1,"Announcing on Saturday (14 Mar 2020), Prime Minister Omar Razzaz said universities and schools would be closed for two weeks.   https://uk.reuters.com/article/health-coronavirus-jordan/update-1-jordan-tightens-lockdown-to-combat-coronavirus-idUKL8N2B70LJ.   https://corona.moh.gov.jo/ar/MediaCenter/26",2,1,"'All institutions in the public and private sectors will be closed except for those deemed critical by the Government of Jordan.'
'As of March 26, small grocery stores and pharmacies are open daily from 10am-6pm for pedestrians only.'
'The Central Bank of Jordan (CBJ) will allow a select number of banks nationwide to provide deposit and withdrawal services beginning March 28 from 10:00am to 2:00pm.'
https://jo.usembassy.gov/covid-19-information/
",2,1,"https://jo.usembassy.gov/covid-19-information/",2,1,"https://jo.usembassy.gov/covid-19-information/",1,1,"https://corona.moh.gov.jo/ar",2,1,NA,3,"https://jo.usembassy.gov/covid-19-information/",NA,NA,NA,NA,NA,NA,NA,NA,69,0,100,NA
"Japan","JPN",20200321,1,1,NA,1,1,NA,1,1,NA,0,1,NA,1,1,NA,1,1,NA,2,NA,0,NA,-0.1,NA,0,NA,NA,NA,1007,35,62,NA
"Kazakhstan","KAZ",20200321,2,1,NA,0,NA,NA,2,1,NA,2,0,NA,0,NA,NA,2,0,NA,3,NA,0,NA,12,"https://tradingeconomics.com/kazakhstan/interest-rate",0,NA,0,NA,53,0,62,NA
"Kenya","KEN",20200321,2,1,NA,2,1,NA,2,1,NA,1,1,"Reduced public transit: '14-seater matatus to have eight passengers at a time, 25-seaters to carry 15, Buses whose sitting capacity is 30 and above to have 60 percent sitting capacity. This rule applies to SGR and the commuter trains.'

https://www.nation.co.ke/news/Govt-outlines-new-steps-in-virus-fight/1056-5498322-6u4t6tz/index.html

Placed as recommended as 'reduced operations'",1,1,"https://twitter.com/MOH_Kenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor

Launch of #komeshacorona campaign",0,NA,NA,3,"https://www.bbc.co.uk/news/world-africa-51917920

'Travellers from any country with a single case of the virus have been barred from entering Kenya for the next 30 days.' (Mar 16 2020)",0,NA,8,NA,0,NA,0,NA,7,0,81,NA
"Kyrgyz Republic","KGZ",20200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA
"Cambodia","KHM",20200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0,NA,NA
"South Korea","KOR",20200321,2,1,"School holidays began Feb 15th, due to start back Feb 24th but postponed until April 6th. Education Ministry push back the start of the new academic year for all elementary schools, and junior and high schools until April 6. 
https://web.archive.org/web/20200330180640/https://www.straitstimes.com/asia/east-asia/weeks-of-school-closure-in-south-korea-a-home-based-working-mums-nightmare
https://web.archive.org/web/20200330181248/http://www.koreaherald.com/view.php?ud=20200317000686
https://web.archive.org/web/20200330181403/https://english.kyodonews.net/news/2020/03/8c51ca6ee085-s-korea-eyes-further-delay-to-new-school-year-as-virus-cases-continue.html
******Worth noting that despite required shutdown that “Korea has many private schools, known as 'hagwon. The Seoul Metropolitan Government said Monday despite the city's recommendation, many hagwon have kept their businesses open through the outbreak
https://web.archive.org/web/20200330182020/https://www.koreatimes.co.kr/www/nation/2020/03/119_287059.html
",0,0,NA,2,1,"Public spaces and protests banned from 21st February . The South Korean vice-health minister, Kim Kang-lip, said: “We have asked you to refrain from taking part in public events, including a religious gathering or protest, this weekend. Please stay at home and refrain from going outside and minimise contact with other people.”
https://web.archive.org/web/20200330193842/https://www.theguardian.com/world/2020/feb/29/coronavirus-south-korea-cases-surge-as-australia-bans-iran-arrivals 
https://web.archive.org/web/20200330194019/https://www.euractiv.com/section/coronavirus/news/commitment-transparency-pay-off-as-south-korea-limits-covid-19-spread/
",0,NA,"March 16th Public transport remains open but is heavily sanitised by cleaning teams and social distancing recommended. Cannot find any data to suggest services were locked down. Hand sanitizers have been placed at public transport stops and building entrances. Public adherence to common sense protective measures like the wearing of masks, using hand sanitiser and limiting human-to-human contact is near-universal and recommended by campaigns.
https://web.archive.org/web/20200330202005/https://www.ft.com/content/e015e096-6532-11ea-a6cd-df28cc3c6a68
https://web.archive.org/web/20200330202207/https://www.bbc.co.uk/news/world-asia-51582186
",1,NA,"Extensive public information campaign, most notably location tracing apps.  The Corona 100m (Co100) app launched on February 11 and, using government data, alerts users when they come within 100 metres of a location visited by an infected person.  
Coronamap website shows the travel histories of confirmed COVID-19 patients and Coronaita aims to function “like a search engine” for information on coronavirus-hit areas.
 
https://web.archive.org/web/20200330202823/https://www.smartcitiesworld.net/news/news/south-korea-to-step-up-online-coronavirus-tracking-5109
https://www.ft.com/content/e015e096-6532-11ea-a6cd-df28cc3c6a68
https://web.archive.org/web/20200330202916/http://www.korea.net/NewsFocus/Society/view?articleId=183129
",2,1,NA,3,"Entry restrictions by countries listed on the Korean Air Website. Total ban on entry from some high risk regions.

https://web.archive.org/save/https://www.koreanair.com/global/en/2020_02_TSA_detail.html
",NA,NA,0.75,"'The Bank of Korea (BOK) has taken several measures to ensure continued accommodative monetary conditions and facilitate financial system liquidity. These include  lowering the Base Rate by 50 basis points, from 1.25 percent to 0.75 percent, effective March 17, 2020' (https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#S)",NA,NA,NA,NA,8799,103,64,NA
