"country","countryiso3","SP.POP.1564.TO.ZS_2013","SP.POP.1564.TO.ZS_2014","SP.POP.1564.TO.ZS_2015","SP.POP.1564.TO.ZS_2016","SP.POP.1564.TO.ZS_2017","SP.POP.1564.TO.ZS_2018","SP.POP.1564.TO.ZS_2019"
"Italy","ITA",64.7592901271348,64.5244929532747,64.3359820070799,64.160474265558,64.0252405238968,63.9192043068525,63.8212058366567
"Jamaica","JAM",66.1680505066617,66.5541735547394,66.8903131454251,67.0954113843473,67.2924438382278,67.4532607662342,67.5463889272352
"Japan","JPN",62.2084890919512,61.5688116965961,60.9912848236834,60.4938234789163,60.0761301376108,59.7267812806245,59.4249196996624
"Jordan","JOR",59.4926413164576,59.8232077129417,60.2676393381589,60.7565965682836,61.303517744971,61.9080193928583,62.5443415728095
"Kazakhstan","KAZ",67.8053663087127,67.1999116896492,66.5429794737269,65.7740682874074,64.9483167025433,64.1476039511304,63.4664061152816
"Kenya","KEN",55.5814203876755,56.0138783562461,56.4557151693827,56.9216999411272,57.3938820427461,57.8786464540153,58.3827990325175
"Kiribati","KIR",61.077022893688,61.4081597206351,61.4432525015776,61.3940137215172,61.0294504108341,60.5073933722928,60.0794177167831
"Korea, Dem. People’s Rep.","PRK",68.9186468543669,69.0754092838993,69.3612008942404,69.6297979288093,70.0354485333659,70.4633660858305,70.7486289048058
"Korea, Rep.","KOR",73.4044049864262,73.4136485826217,73.3589197335943,73.164128513294,72.9222529604083,72.6081205891396,72.1933794912468
"Kuwait","KWT",75.9185917780747,76.3407488767769,76.6767363882124,76.460894013584,76.1950830095616,75.9106395650123,75.6663227228938
"Kyrgyz Republic","KGZ",64.9550547231581,64.5597115389222,64.1648659256961,63.7226986350758,63.4065152729528,63.1548549102717,62.8980103961283
"Lao PDR","LAO",61.6777480453439,62.1648295509654,62.5514822069304,62.8821185869504,63.1255128156266,63.3209313536048,63.5330161079189
"Late-demographic dividend","LTE",71.7360877794178,71.5869586274123,71.3619584273442,71.0373946844568,70.6609434427343,70.2600716327685,69.877086315199
"Latin America & Caribbean","LCN",66.235009917871,66.4396306823922,66.6197458953501,66.7705801938026,66.9048414787595,67.0169035139891,67.0993226261745
"Latin America & Caribbean (excluding high income)","LAC",66.1701980745873,66.3859705901867,66.5772975524492,66.7374760721312,66.8808174601788,67.0016380130151,67.0933268095879
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",66.1740450956331,66.3876300794859,66.5761593320081,66.7368645067509,66.8802474240022,67.0005323165067,67.0912469081903
"Latvia","LVA",66.4204186200492,65.9201204817489,65.387095191708,65.0915327519189,64.5904329718102,63.9606027403227,63.3557327862224
"Least developed countries: UN classification","LDC",55.7286684492232,55.9774058761721,56.2418661161948,56.4885723066585,56.7516402336687,57.0263884122303,57.3083305696604
"Lebanon","LBN",67.1184040918502,66.6522388279015,66.3349088995355,66.4866424267915,66.6657183878929,66.901764700394,67.1544885265763
"Lesotho","LSO",61.0835925522423,61.4066441719743,61.7959214597617,61.9357792417459,62.1459655927181,62.3825609677432,62.6072570612271
"Liberia","LBR",54.1217804438163,54.4102703379695,54.7322253104156,55.0003302965671,55.2985756107852,55.6215816108536,55.961387571612
"Libya","LBY",66.988731654526,66.9486518233075,66.8933980335961,66.9987286207584,67.1314280921066,67.2887220132367,67.4734841353358
"Lithuania","LTU",67.3350096745226,67.0528356582558,66.7197497851208,66.389657653405,65.9715598503416,65.4125423380302,64.7061360104101
"Low & middle income","LMY",65.3181567984698,65.3812843995047,65.4129810923362,65.3865150560032,65.3409110059118,65.2867756566909,65.2429854426756
"Low income","LIC",53.4310039509497,53.6734268851874,53.9321393069897,54.1461108775999,54.3836251499999,54.640485752564,54.9142291134003
"Lower middle income","LMC",62.8993971186014,63.1337815472267,63.3488360723221,63.530024179443,63.6896862134942,63.8391554261721,63.9947734271441
"Luxembourg","LUX",69.1584340902389,69.4019649568272,69.6279252780371,69.7182977019114,69.8281833386832,69.9380218288939,70.0178162795645
"Macao SAR, China","MAC",79.8448833680885,79.4023462914769,78.7935258310704,77.906650392601,76.9215448492977,75.8617304903457,74.7687935732186
"Madagascar","MDG",54.7632479148026,55.1611436222164,55.5225680454738,55.8271207505954,56.0975040312059,56.3451322813798,56.5890958933428
"Malawi","MWI",51.603216205579,51.9308204424529,52.2759546363539,52.6689772389968,53.0541087376733,53.4522791630613,53.8892873471308
"Malaysia","MYS",68.3400204344081,68.654329385903,68.9348293589084,69.080619256779,69.2222570223111,69.3331042884915,69.3842495363896
"Maldives","MDV",73.3948839369287,74.2052572899785,74.8434322895486,75.3953633136493,75.8266485630598,76.1487387918464,76.4493279066132
"Mali","MLI",49.4372533640724,49.4580616496284,49.5209756096442,49.6235801143339,49.7622678384199,49.9492838489489,50.2001751853988
"Malta","MLT",68.0655448420865,67.5165098780326,66.9809645284725,66.4129769294446,65.8829090294634,65.3737751793975,64.8540324997956
"Mauritania","MRT",56.0327534241049,56.1962209124841,56.3763793153302,56.4674280232677,56.6067338070364,56.7757050202881,56.9548418629974
"Mauritius","MUS",70.7510920369715,70.6938772263999,70.6456597134001,70.6552602695217,70.6909218591711,70.7321346133359,70.7415639363991
"Mexico","MEX",65.1952915041032,65.4188112366928,65.6393151459625,65.821789391381,66.0200045642909,66.2194668282759,66.3982212450791
"Micronesia, Fed. Sts.","FSM",62.8891867907785,63.3825363438378,63.7595849212544,64.0484507553418,64.2146439497932,64.2959872159091,64.351798972016
"Middle East & North Africa","MEA",65.3014847979551,65.2962014043728,65.2651408760941,65.1300994794042,65.0236324968472,64.9315884130436,64.8415317383637
"Middle East & North Africa (excluding high income)","MNA",64.0658700206199,64.0008299872686,63.9186352135102,63.7513161954276,63.6206021590723,63.5135193190367,63.4142060465574
"Middle East & North Africa (IDA & IBRD countries)","TMN",64.1569664319887,64.0868736217671,63.9998103670698,63.8276239467258,63.6921656879762,63.5810806657711,63.4779795961128
"Middle income","MIC",66.5818115333879,66.6428192045126,66.6672865252581,66.6319939417989,66.5725986860659,66.5015805423138,66.4401465083864
"Moldova","MDA",74.0845154765227,74.2042472063312,74.1591126833223,73.7985577503641,73.2747425661702,72.6703527985579,72.0971898192129
"Mongolia","MNG",68.2464828296015,67.787169723017,67.2737714524124,66.6457921896737,66.0564020777279,65.50689290572,65.0123854051589
"Montenegro","MNE",67.904908636614,67.858835544846,67.7186277824919,67.524838026732,67.2020179647302,66.8155442180663,66.4606114457783
"Morocco","MAR",65.8337540818888,65.8666116524228,65.8865986896977,65.8188485243372,65.7940536386364,65.7807150460324,65.7300280663655
"Mozambique","MOZ",51.3547311102509,51.4865885285548,51.6799052082017,51.8846754168119,52.1422060609547,52.4384353894175,52.7535533449279
"Myanmar","MMR",66.2630600340952,66.6403230369896,67.0140954397629,67.3171848288406,67.5922492460688,67.8443097829163,68.0738941431115
"Namibia","NAM",59.0733053116443,59.2538212202481,59.3534764292601,59.4236155050542,59.4485716295414,59.4537191301233,59.4860354455549
"Nepal","NPL",60.0463955717161,60.5982841433974,61.1060301948201,62.0769438683676,62.9988020344461,63.8580639025582,64.6470567879502
"Netherlands","NLD",65.9935148878185,65.6163321488448,65.3242002139623,65.0519291962127,64.85473799459,64.6956486568235,64.5111840408302
