"country","countryiso3","score_security_apparatus.28904_2013","score_security_apparatus.28904_2014","score_security_apparatus.28904_2015","score_security_apparatus.28904_2016","score_security_apparatus.28904_2017","score_uneven_development.28905_2013","score_uneven_development.28905_2014","score_uneven_development.28905_2015","score_uneven_development.28905_2016","score_uneven_development.28905_2017","score_group_grievance.28907_2013","score_group_grievance.28907_2014","score_group_grievance.28907_2015","score_group_grievance.28907_2016","score_group_grievance.28907_2017","score_human_flight.28908_2013","score_human_flight.28908_2014","score_human_flight.28908_2015","score_human_flight.28908_2016","score_human_flight.28908_2017","score_human_rights.28909_2013","score_human_rights.28909_2014","score_human_rights.28909_2015","score_human_rights.28909_2016","score_human_rights.28909_2017","score_legitimacy_of_the_s.28910_2013","score_legitimacy_of_the_s.28910_2014","score_legitimacy_of_the_s.28910_2015","score_legitimacy_of_the_s.28910_2016","score_legitimacy_of_the_s.28910_2017","score_public_services.28911_2013","score_public_services.28911_2014","score_public_services.28911_2015","score_public_services.28911_2016","score_public_services.28911_2017"
"Cote d'Ivoire","CIV",9.3,9.1,9,8,7.8,9.3,8.8,8.5,8.1,7.9,9.7,9.4,9.7,9.4,9.2,9.4,9.4,9.1,9.4,9.1,9,9,8.7,8.3,8.1,7.3,7,6.7,7,7.3,8.5,8.7,9,8.7,8.7
"Cameroon","CMR",7.3,7.6,7.8,8,8,8.5,8.2,8.4,8.7,8.4,6.8,6.5,7,8,7.8,9.2,9.5,9.1,9.4,9.1,7.8,7.8,8.1,8.5,8.3,7.2,7.5,7.5,7.8,7.6,8.4,8.5,8.8,8.9,8.7
"Colombia","COL",8.3,8,7.8,7.9,7.7,7.3,7.4,7.1,6.5,6.3,7.1,6.8,6.5,6.2,6,7.7,7.7,7.6,7.6,7.6,7.5,7.7,8,7,7.3,7.3,7,6.7,6.3,6.2,6.1,6.3,6,6.1,5.9
"Comoros","COM",4.5,4.8,4.5,4.7,4.7,7.4,7.1,6.8,6.8,7.3,8.1,8,7.8,7.5,8,7.5,7.5,7.5,7.5,8,5.3,5.3,5,5,5.4,7.2,7.5,7.8,7.6,7.4,7.9,8.2,8,8.4,8.2
"Cabo Verde","CPV",4.1,4.4,4.1,4.4,4.2,6.3,6,5.7,5.5,5.3,8.2,7.9,8.1,7.8,8.1,5.5,5.5,5.5,5.5,5.5,4.2,4.2,4,4.1,4.1,8.3,8.6,8.6,8.2,8,6.5,6.8,6.5,6.2,6
"Costa Rica","CRI",4.1,4.4,3.9,3.6,3.9,3.5,3.2,2.9,2.6,2.4,4.9,4.6,4.3,4.3,4.1,3.8,3.8,3.8,3.8,3.8,4.1,4.4,4.7,4.4,4.2,3.5,3.2,3.5,3.8,4.1,4.6,4.8,4.5,4.1,3.9
"Cuba","CUB",5.3,5,4.5,4.2,4,6.5,6.8,7,7.3,7.6,6.7,6.5,5,5.3,5.1,6.9,7.2,7,7,7,4.8,4.8,4.5,4.2,4,6.3,6,5.7,5.4,5.2,4.7,4.9,4.7,4.3,4.1
"Cyprus","CYP",4.4,4.2,4.5,5,5.3,5.5,5.6,5.3,5,4.8,9,9.1,9.2,9.2,9,7.9,7.9,7.9,7.9,7.9,7.3,7.3,7,6.5,6.3,4.8,4.8,4.5,4.2,4,3,3.3,3,2.7,2.5
"Czech Republic","CZE",2.2,2.3,2,4,3.8,4.1,4.2,4.2,4.9,4.7,3.2,2.9,2.6,2.9,2.7,4.2,4.3,4.3,5,5,3.8,3.8,3.8,5,4.8,3.4,3.1,2.8,2.5,2.8,3.7,3.4,3.1,2.8,2.6
"Germany","DEU",3.6,3.3,3,5.7,5.4,1.4,1.5,1.2,1,1,1.4,1.6,1.3,1,1,2,2,2,2.3,2.3,4.3,4.3,4.6,4.8,5,2.2,2.4,2.1,1.8,2.1,1.8,1.9,1.6,1.3,1.1
"Djibouti","DJI",7.2,7.4,7.1,7.5,7.3,7.8,7.9,7.6,7.9,8.2,8.1,8,8.4,8.9,8.7,7.5,7.6,7.3,7.3,7.3,6.2,6.4,6.6,6.7,6.5,5.2,5.5,5.8,5.5,5.4,7.4,7.7,7.8,8.1,7.9
"Denmark","DNK",1.6,1.4,1.4,1.8,2.1,1,0.8,0.5,0.6,0.9,2,1.9,1.4,1.1,1,1.4,1.4,1.4,1.4,1.4,3.4,3.4,3.6,4.6,4.4,1.9,2,1.9,1.6,1.9,1.4,1.7,1.4,1.1,1
"Dominican Republic","DOM",5.5,5.6,3.8,3.5,3.3,5.4,5.7,6,5.7,5.5,5.9,5.8,5.9,5.6,5.4,6.5,6.5,6.2,6.2,6.2,6.1,6.1,5.8,6,5.8,7.9,7.9,7.6,7.3,7.1,6.2,6.5,6.8,6.8,6.3
"Algeria","DZA",7,6.7,6.4,6.5,6.8,7.4,7.5,7.8,7.8,6.9,5.2,5.7,5.4,5.1,4.9,7.3,7.3,7.7,7.1,7.1,7.8,7.9,8.2,7.9,7.1,5.1,5,5.1,5.4,5.8,5.9,6.1,5.8,5.5,6
"Ecuador","ECU",5.7,5.7,5.2,5.4,5.7,7.2,6.9,7,6.7,6.5,6.2,5.9,5.6,5.8,6.3,8.2,8.2,8.2,8.2,8.2,7.2,7.5,7.8,7.5,7.3,6.8,6.5,6.2,5.9,5.8,6.9,6.6,6.3,6,6.5
"Egypt, Arab Rep.","EGY",6.5,6.4,6.7,7,7.3,8.9,9,8.7,8.4,8.2,7.7,7.4,7.1,8.1,7.9,8.7,9.4,9,8.8,8.8,8.5,8.6,8.7,9,8.8,5.4,5.1,4.7,4.4,4.7,5.6,5.7,5.4,5.1,4.9
"Eritrea","ERI",7.4,7.3,7.8,8.5,8.3,8.7,8.8,9.1,9.5,9.3,8.6,8.5,8.2,7.9,7.7,8.1,8.1,8.1,8.1,8.1,6.1,6.4,6.1,6.6,7.1,7.3,7.5,7.6,8,8.3,8.4,8.4,8.7,8.6,8.4
"Spain","ESP",2.3,2,1.7,2,1.9,3.3,3.4,3.3,3,2.8,2,1.9,2.2,2,1.8,6,6.1,6.1,6.3,6.3,5.8,6.1,5.8,5.9,5.7,3,2.7,2.4,2.1,1.9,3.3,3,2.7,2.4,2.2
