"country","countryiso3","SL.EMP.VULN.MA.ZS_2013","SL.EMP.VULN.MA.ZS_2014","SL.EMP.VULN.MA.ZS_2015","SL.EMP.VULN.MA.ZS_2016","SL.EMP.VULN.MA.ZS_2017","SL.EMP.VULN.MA.ZS_2018","SL.EMP.VULN.MA.ZS_2019"
"Eritrea","ERI",81.7799987792969,80.9029998779296,81.5729999542237,81.2220001220703,81.4330024719238,80.996000289917,80.8790016174316
"Estonia","EST",6.23599977791309,6.99700018763542,6.76299998164177,6.74499978125096,6.96999986469745,7.53100018203259,7.4319998472929
"Eswatini","SWZ",24.17799949646,25.0759999752045,25.9709999561309,26.8739993572235,26.691000699997,26.5609996318817,26.4760003089905
"Ethiopia","ETH",85.1310005187988,84.8199996948242,84.5010013580322,84.1949996948242,83.8620014190674,83.5939998626709,83.3160018920898
"Euro area","EMU",12.7469169078494,12.6575812157555,12.470962934578,12.2581911703184,11.9273480386115,11.7099071240015,11.6950491075121
"Europe & Central Asia","ECS",16.465622544521,16.2824187695688,16.027162835073,15.9723942701512,15.67591919351,15.5490594894355,15.4904121696077
"Europe & Central Asia (excluding high income)","ECA",19.6730609524074,19.3180974101142,19.1308100643477,19.2876916901482,18.9859954945499,18.9604758447068,18.9309402360829
"Europe & Central Asia (IDA & IBRD countries)","TEC",20.1156827628437,19.7507501556137,19.4860030734221,19.4868926598431,19.1926449123672,19.1004723582386,19.0453297832016
"European Union","EUU",13.9617444168292,13.8428060796573,13.5437783356577,13.2192659671906,12.921809838137,12.6864874686071,12.6275427121127
"Fiji","FJI",42.4570007324219,42.2249994277954,41.9919996261597,41.7319993972778,41.5430002212525,41.2429990768433,40.9670000076294
"Finland","FIN",11.7359997034073,12.0430003404617,12.5119999051095,12.4189996123314,11.2430002689361,11.6759996414185,11.6359996199608
"Fragile and conflict affected situations","FCS",62.6395922669969,62.4261968792808,62.3177048999237,62.2505238179887,62.1853332033012,62.2440792442018,62.2973415591464
"France","FRA",8.27599994838237,8.5199996381998,8.54300002753734,8.86800007522106,8.53700019419193,8.58300012350082,8.57600000500678
"French Polynesia","PYF",14.1589996218682,14.2069999873638,14.2229999303818,14.248999685049,14.2279998958111,14.1859999001026,14.1389996409417
"Gabon","GAB",27.1429997682572,27.1350000500679,27.1240000128746,27.138999402523,27.1449993252754,27.139000415802,27.1089996695519
"Gambia, The","GMB",65.1210021972656,65.051999092102,64.8000011444092,64.7019987106323,64.5059995651245,64.2279977798462,63.9659986495971
"Georgia","GEO",55.5419988632202,54.0400018692017,52.185001373291,53.1619997024536,49.2050018310547,49.0070018768311,48.818000793457
"Germany","DEU",7.21799999475479,7.05100004374981,6.90200017392635,6.6580001115799,6.43200008571148,6.22700005769729,6.19900022447109
"Ghana","GHA",63.5580005645752,62.6639986038208,61.7970018386841,61.579999446869,61.085000038147,60.7619981765747,60.4020009040833
"Greece","GRC",32.1910004615784,31.8760006427765,30.1390001773834,28.2590003013611,28.4180002212524,27.4060008525848,27.3659989833832
"Guam","GUM",10.6319996416569,10.6070002913475,10.6000004708767,10.6040000617505,10.6199998855591,10.623999863863,10.6239996254444
"Guatemala","GTM",37.1830005645752,33.5319995880127,32.6090002059937,29.2440004348755,32.8070001602173,32.702000617981,32.6560010910034
"Guinea","GIN",83.2520008087158,83.1070003509521,82.9980010986328,82.6639995574951,82.3059997558594,82.0850009918213,81.9569988250732
"Guinea-Bissau","GNB",68.8999996185302,68.8090019226075,68.5709991455078,68.3350009918213,68.1000003814698,67.9150009155273,67.6989994049073
"Guyana","GUY",25.0560002326966,24.8439998626709,24.6230002641678,24.3900005817414,24.1730000972748,23.9320005178451,23.7180002927781
"Haiti","HTI",65.8229999542236,65.5269985198975,65.1009998321534,64.94700050354,64.8349990844727,64.5489997863769,64.3610000610351
"Heavily indebted poor countries (HIPC)","HPC",73.5317081943342,73.0458966285006,72.8272605170548,72.5145114176397,72.2583521460485,72.147370312995,72.0257407403739
"High income","HIC",10.6536384363736,10.5715273171945,10.3812428286896,10.2951346676297,10.1406267859423,10.0796366915471,10.0220598726651
"Honduras","HND",37.1500005722045,33.0590009689331,36.1800003051758,31.0980000495911,34.2119998931885,34.4869995117187,34.400999546051
"Hong Kong SAR, China","HKG",9.34599985182285,8.2100003361702,7.95500019192696,7.58200010657311,7.50199995934963,7.4260000064969,7.39600005745888
"Hungary","HUN",6.88799999654294,6.73999997973442,6.4679998755455,6.44299982488156,5.97600018978119,6.63900016248226,6.59100019931794
"IBRD only","IBD",49.6073434402989,49.0854769828597,48.4561464278039,47.9809825356897,47.600039769786,47.1882067552313,47.0634132098755
"Iceland","ISL",10.698999941349,11.0939998030662,11.5129999816417,10.4270001649857,9.99800023436547,9.96799977123737,9.95299954712391
"IDA & IBRD total","IBT",52.5428174544174,52.104282040732,51.5742777344681,51.1959866665053,50.7976375098403,50.4257507325499,50.3484192740492
"IDA blend","IDB",58.3922030226891,58.480993790776,58.1347094903276,58.3317134131059,57.1944282152646,56.1476636294215,56.0286307107098
