"country","countryiso3","ST.INT.XPND.MP.ZS_2013","ST.INT.XPND.MP.ZS_2014","ST.INT.XPND.MP.ZS_2015","ST.INT.XPND.MP.ZS_2016","ST.INT.XPND.MP.ZS_2017","ST.INT.XPND.MP.ZS_2018"
"Bermuda","BMU",16.8854338072745,19.3193714359993,19.8577343043417,19.3869296551245,18.0496791000126,16.0281381701015
"Bhutan","BTN",6.08628166834268,3.80914875103947,3.65545423639396,4.20267085502313,5.10155120881141,6.26530993376602
"Bolivia","BOL",5.96708153140151,7.37696710824892,7.13016952313114,8.89819816355349,8.79101457273733,8.68694235813675
"Bosnia and Herzegovina","BIH",2.00852323313796,1.95133551132928,3.18934120163333,3.23925299283103,3.33816778887881,3.17729110607052
"Botswana","BWA",2.85265155393614,3.07580015772622,3.16827504787772,3.42833461542036,3.99480501089115,3.681548740744
"Brazil","BRA",8.99526133922179,9.40968646198133,8.37193980204943,8.39024281549467,10.1498842677935,8.62714428399348
"Brunei Darussalam","BRN",8.0299103964361,10.5213471618864,9.42544679809782,11.5967151814284,11.6652894638074,10.2962198251364
"Bulgaria","BGR",3.690286516925,3.92171725520649,4.21945028650569,5.14855274056581,5.49686031798545,5.41494713377715
"Burkina Faso","BFA",4.5208037842382,4.06484429903783,4.24147823196998,4.32598852046668,3.90979908418287,NA
"Burundi","BDI",3.72091255439648,4.11124662184159,3.48308868388642,3.77411163374792,2.71057207214789,2.54060975902162
