"country","countryiso3","SP.URB.TOTL.IN.ZS_2013","SP.URB.TOTL.IN.ZS_2014","SP.URB.TOTL.IN.ZS_2015","SP.URB.TOTL.IN.ZS_2016","SP.URB.TOTL.IN.ZS_2017","SP.URB.TOTL.IN.ZS_2018","SP.URB.TOTL.IN.ZS_2019"
"Nicaragua","NIC",57.505,57.7,57.895,58.09,58.299,58.522,58.76
"Niger","NER",16.208,16.219,16.247,16.29,16.35,16.425,16.517
"Nigeria","NGA",46.118,46.982,47.838,48.683,49.519,50.344,51.157
"North America","NAC",81.2903725598759,81.4598663734102,81.6330826495724,81.8087506717953,81.9896173704686,82.173045483989,82.3616940875178
"North Macedonia","MKD",57.189,57.284,57.408,57.563,57.748,57.963,58.208
"Northern Mariana Islands","MNP",91.19,91.273,91.357,91.443,91.53,91.618,91.708
"Norway","NOR",80.286,80.692,81.091,81.485,81.871,82.248,82.616
"OECD members","OED",79.61717030781,79.8066941779544,80.00066670087,80.1970392107071,80.3967321900118,80.5989283162627,80.8045728533655
"Oman","OMN",78.882,80.145,81.35,82.5,83.56,84.539,85.443
"Other small states","OSS",59.4973871821482,60.0547692281278,60.5953654613588,61.1179903687112,61.6246354891074,62.1185434877544,62.5965028738945
"Pacific island small states","PSS",37.5635862869273,37.8026175157066,38.041259603629,38.2907357416781,38.5304686134183,38.7813441179116,39.0383906719183
"Pakistan","PAK",35.613,35.819,36.026,36.234,36.442,36.666,36.907
"Palau","PLW",76.862,77.517,78.159,78.775,79.365,79.93,80.47
"Panama","PAN",66.052,66.371,66.696,67.027,67.365,67.709,68.059
"Papua New Guinea","PNG",12.978,12.988,13.012,13.05,13.102,13.169,13.25
"Paraguay","PRY",60.197,60.474,60.75,61.026,61.3,61.585,61.879
"Peru","PER",76.989,77.173,77.357,77.539,77.72,77.907,78.099
"Philippines","PHL",45.903,46.093,46.284,46.475,46.682,46.907,47.149
"Poland","POL",60.529,60.403,60.278,60.178,60.105,60.058,60.037
"Portugal","PRT",62.352,62.936,63.514,64.086,64.652,65.211,65.764
"Post-demographic dividend","PST",80.404899066965,80.5729677694465,80.745893219599,80.9204683060135,81.0985892132515,81.2798533425847,81.4657268032803
"Pre-demographic dividend","PRE",38.5052085341605,39.0497427304953,39.5938901250117,40.1368381981726,40.6808140791446,41.2269515142477,41.7764539359743
"Puerto Rico","PRI",93.686,93.651,93.624,93.602,93.587,93.578,93.576
"Qatar","QAT",98.785,98.868,98.945,99.015,99.078,99.135,99.188
"Romania","ROU",53.937,53.9,53.887,53.9,53.936,53.998,54.084
"Russian Federation","RUS",73.863,73.95,74.05,74.164,74.292,74.433,74.587
"Rwanda","RWA",16.947,16.967,17.004,17.056,17.125,17.211,17.313
"Samoa","WSM",19.385,19.149,18.914,18.681,18.452,18.243,18.056
"San Marino","SMR",96.37,96.559,96.739,96.91,97.072,97.226,97.368
"Sao Tome and Principe","STP",68.208,69.213,70.174,71.092,71.968,72.803,73.598
"Saudi Arabia","SAU",82.74,82.96,83.18,83.401,83.622,83.844,84.065
"Senegal","SEN",45.019,45.436,45.862,46.296,46.74,47.192,47.653
"Serbia","SRB",55.469,55.583,55.696,55.81,55.942,56.092,56.26
"Seychelles","SYC",54.537,54.969,55.4,55.831,56.261,56.691,57.119
"Sierra Leone","SLE",40.036,40.432,40.829,41.228,41.636,42.055,42.484
