"retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","country","countryiso3"
-63,-25,-17,-75,-43,16,"Denver County",NA
-56,-36,10,-50,-43,14,"Douglas County",NA
-75,-47,-46,-67,-74,26,"Eagle County",NA
-45,-22,-1,-55,-40,12,"El Paso County",NA
-22,-16,NA,NA,-37,0,"Elbert County",NA
-35,-13,-7,NA,-29,14,"Fremont County",NA
-51,-35,4,-34,-45,22,"Garfield County",NA
NA,NA,NA,NA,-67,NA,"Gilpin County",NA
-85,-49,-84,-43,-60,NA,"Grand County",NA
-73,-43,-50,NA,-55,NA,"Gunnison County",NA
-62,-43,NA,NA,-28,NA,"Huerfano County",NA
-53,-41,-3,-39,-43,14,"Jefferson County 1",NA
-39,-20,NA,-18,-13,NA,"Kit Carson County",NA
-58,-28,4,-68,-43,25,"La Plata County",NA
-82,-33,NA,NA,-57,NA,"Lake County 1",NA
-53,-27,1,-38,-38,13,"Larimer County",NA
-40,-23,NA,NA,-21,NA,"Las Animas County",NA
-33,-31,NA,-31,-30,NA,"Lincoln County 1",NA
-32,-15,NA,NA,-26,NA,"Logan County 1",NA
-40,-21,11,-35,-35,9,"Mesa County",NA
-26,-22,NA,NA,-36,NA,"Moffat County",NA
-39,-14,NA,NA,-31,-1,"Montezuma County",NA
-45,-31,NA,NA,-36,17,"Montrose County",NA
-40,-33,0,-23,-18,14,"Morgan County",NA
-32,-28,NA,NA,-25,NA,"Otero County",NA
-28,NA,NA,NA,-56,NA,"Ouray County",NA
-84,-44,3,NA,-52,NA,"Park County",NA
-100,-56,NA,-85,-75,NA,"Pitkin County",NA
-32,-25,NA,-33,-17,NA,"Prowers County",NA
-42,-21,-45,-32,-29,9,"Pueblo County",NA
NA,NA,NA,NA,-28,NA,"Rio Blanco County",NA
-38,-24,NA,NA,-17,NA,"Rio Grande County",NA
-82,-49,-48,-65,-62,-2,"Routt County",NA
NA,NA,NA,NA,-44,NA,"Saguache County",NA
-80,NA,NA,NA,-69,NA,"San Miguel County",NA
-86,-73,-74,-67,-71,5,"Summit County",NA
-46,-23,NA,NA,-45,-1,"Teller County",NA
-42,-26,-4,-32,-33,12,"Weld County",NA
-33,-22,NA,NA,-30,NA,"Yuma County 1",NA
-56,-32,-52,-64,-38,15,"Connecticut",NA
-61,-35,-60,-72,-44,17,"Fairfield County",NA
-56,-31,-48,-61,-35,13,"Hartford County",NA
-51,-27,-40,NA,-33,13,"Litchfield County",NA
-58,-28,-49,-60,-38,15,"Middlesex County",NA
-56,-31,-52,-62,-36,14,"New Haven County",NA
-56,-28,-45,-67,-41,15,"New London County",NA
-59,-33,-38,-38,-37,14,"Tolland County",NA
-42,-27,-58,-69,-32,12,"Windham County",NA
-47,-28,-6,-57,-37,12,"Delaware",NA
-45,-32,2,-50,-35,11,"Kent County",NA
-48,-31,5,-60,-37,13,"New Castle County",NA
-46,-23,-5,-40,-36,11,"Sussex County",NA
-64,-30,-41,-68,-47,14,"District of Columbia",NA
-50,-26,-48,-63,-41,13,"Florida",NA
-54,-26,-32,-48,-37,12,"Alachua County",NA
-23,-8,NA,-45,-27,-3,"Baker County",NA
-38,-16,-2,-50,-27,8,"Bay County",NA
-26,0,NA,NA,-26,0,"Bradford County",NA
-44,-22,-26,-37,-38,11,"Brevard County",NA
-52,-28,-62,-72,-42,16,"Broward County",NA
-38,-5,NA,NA,-28,NA,"Calhoun County",NA
-49,-25,-35,-33,-40,10,"Charlotte County",NA
-38,-15,-35,NA,-36,9,"Citrus County",NA
-33,-15,1,NA,-34,10,"Clay County 1",NA
-56,-29,-62,-56,-44,14,"Collier County",NA
-36,-8,-41,-25,-25,8,"Columbia County 1",NA
-35,-21,-28,NA,-26,12,"DeSoto County",NA
-30,-4,NA,NA,-31,NA,"Dixie County",NA
-36,-13,-26,-40,-33,10,"Duval County",NA
-38,-10,-11,-47,-32,9,"Escambia County",NA
-44,-16,-34,NA,-40,10,"Flagler County",NA
-56,-12,-14,NA,-30,NA,"Franklin County 1",NA
-24,-10,NA,-36,-31,14,"Gadsden County",NA
-26,-1,NA,NA,-24,NA,"Gilchrist County",NA
-62,NA,-65,-39,-30,NA,"Glades County",NA
-28,-1,NA,NA,-16,NA,"Gulf County",NA
-16,-4,NA,-28,-24,NA,"Hamilton County",NA
-30,-29,-30,NA,-29,NA,"Hardee County",NA
-34,-10,-42,NA,-28,12,"Hendry County",NA
-36,-16,-10,-37,-36,10,"Hernando County",NA
-44,-21,-49,NA,-36,9,"Highlands County",NA
-52,-30,-53,-67,-42,14,"Hillsborough County",NA
-19,-12,NA,NA,-18,NA,"Holmes County",NA
-46,-29,-30,-47,-38,11,"Indian River County","IND"
-29,-11,NA,-32,-32,12,"Jackson County 1",NA
-20,-10,NA,NA,-28,NA,"Jefferson County 2",NA
NA,NA,NA,NA,-28,NA,"Lafayette County",NA
-42,-24,-24,-57,-41,12,"Lake County 2",NA
-55,-28,-60,-69,-41,12,"Lee County",NA
-45,-22,0,-50,-36,11,"Leon County",NA
-35,-12,-20,NA,-31,12,"Levy County",NA
NA,-5,NA,NA,-28,NA,"Liberty County",NA
-41,-2,NA,-26,-31,NA,"Madison County 1",NA
-48,-22,-28,-63,-36,11,"Manatee County",NA
-41,-21,-40,-31,-34,9,"Marion County 1",NA
-50,-28,-28,-59,-37,12,"Martin County",NA
-57,-35,-77,-71,-46,18,"Miami Dade County",NA
-74,-47,-76,-76,-55,15,"Monroe County 1",NA
-40,-18,-24,-68,-34,10,"Nassau County",NA
-39,-14,-7,-62,-32,9,"Okaloosa County",NA
-37,-10,-23,-84,-33,11,"Okeechobee County",NA
-70,-42,-59,-80,-53,17,"Orange County 1",NA
-64,-40,-49,-65,-54,18,"Osceola County",NA
-49,-23,-65,-61,-40,15,"Palm Beach County",NA
-40,-24,-10,-25,-35,11,"Pasco County",NA
