"country","countryiso3","SP.DYN.LE00.IN_2013","SP.DYN.LE00.IN_2014","SP.DYN.LE00.IN_2015","SP.DYN.LE00.IN_2016","SP.DYN.LE00.IN_2017","SP.DYN.LE00.IN_2018"
"St. Lucia","LCA",75.286,75.44,75.596,75.752,75.907,76.057
"St. Martin (French part)","MAF",79.1707317073171,79.3219512195122,79.4707317073171,79.6219512195122,79.7219512195122,79.8707317073171
"St. Vincent and the Grenadines","VCT",71.939,72.01,72.095,72.193,72.3,72.415
"Sub-Saharan Africa","SSF",58.8013898931051,59.4047999444643,59.9528305490993,60.44238733816,60.8800023700024,61.2730146485793
"Sub-Saharan Africa (excluding high income)","SSA",58.7796851785811,59.3842216759185,59.9331929514269,60.4238384716512,60.8623356410946,61.2565331327445
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",58.8013898931051,59.4047999444643,59.9528305490993,60.44238733816,60.8800023700024,61.2730146485793
"Sudan","SDN",63.875,64.169,64.429,64.663,64.881,65.095
"Suriname","SUR",71.002,71.133,71.249,71.358,71.463,71.57
"Sweden","SWE",81.9560975609756,82.2536585365854,82.2048780487805,82.3073170731707,82.409756097561,82.5585365853659
"Switzerland","CHE",82.7975609756098,83.1975609756098,82.8975609756098,83.6024390243903,83.5512195121951,83.7536585365854
"Syrian Arab Republic","SYR",70.049,69.821,69.908,70.315,70.967,71.779
"Tajikistan","TJK",69.609,69.874,70.137,70.397,70.647,70.879
"Tanzania","TZA",61.398,62.288,63.111,63.844,64.479,65.015
"Thailand","THA",75.378,75.747,76.091,76.403,76.683,76.931
"Timor-Leste","TLS",67.953,68.197,68.459,68.735,69.007,69.26
"Togo","TGO",59.16,59.58,59.927,60.22,60.489,60.76
"Tonga","TON",70.335,70.427,70.517,70.607,70.701,70.801
"Trinidad and Tobago","TTO",72.582,72.768,72.941,73.1,73.245,73.38
"Tunisia","TUN",75.552,75.734,75.922,76.115,76.31,76.505
"Turkey","TUR",75.784,76.172,76.532,76.86,77.161,77.437
"Turkmenistan","TKM",67.375,67.552,67.704,67.835,67.956,68.073
"Uganda","UGA",59.881,60.669,61.373,61.986,62.516,62.973
"Ukraine","UKR",71.159512195122,71.1865853658537,71.189512195122,71.4763414634146,71.7809756097561,71.5826829268293
"United Arab Emirates","ARE",76.903,77.095,77.285,77.47,77.647,77.814
"United Kingdom","GBR",81.0048780487805,81.3048780487805,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756
"United States","USA",78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.5390243902439
"Upper middle income","UMC",74.0384688406045,74.3191878296375,74.5972439251292,74.858383532731,75.1184954802044,75.3289772104353
"Uruguay","URY",77.124,77.244,77.369,77.498,77.632,77.77
"Uzbekistan","UZB",70.41,70.671,70.928,71.171,71.388,71.573
"Vanuatu","VUT",69.57,69.719,69.869,70.021,70.172,70.323
"Venezuela, RB","VEN",72.918,72.762,72.584,72.405,72.246,72.128
"Vietnam","VNM",75.006,75.056,75.11,75.172,75.241,75.317
"Virgin Islands (U.S.)","VIR",78.8682926829268,78.9682926829268,79.1682926829268,79.2682926829268,79.419512195122,79.5682926829268
"West Bank and Gaza","PSE",73.17,73.303,73.442,73.589,73.74,73.895
"World","WLD",71.4621532675964,71.7422791195969,71.9474029185145,72.180758376222,72.3855753160321,72.5632744812844
"Yemen, Rep.","YEM",66.016,66.066,66.085,66.087,66.086,66.096
"Zambia","ZMB",59.746,60.831,61.737,62.464,63.043,63.51
"Zimbabwe","ZWE",56.897,58.41,59.534,60.294,60.812,61.195
