"country","countryiso3","latest.year_score_logistics_performan.321","latest.value_score_logistics_performan.321","latest.year_score_logistics_performan.40212","latest.value_score_logistics_performan.40212","latest.year_score (lower bound)_logis.322","latest.value_score (lower bound)_logis.322","latest.year_score (upper bound)_logis.323","latest.value_score (upper bound)_logis.323","latest.year_rank_logistics_performanc.324","latest.value_rank_logistics_performanc.324","latest.year_rank_logistics_performanc.40213","latest.value_rank_logistics_performanc.40213","latest.year_rank (lower bound)_logist.325","latest.value_rank (lower bound)_logist.325","latest.year_rank (upper bound)_logist.326","latest.value_rank (upper bound)_logist.326","latest.year_% of highest performer_lo.327","latest.value_% of highest performer_lo.327","latest.year_score_customs.329","latest.value_score_customs.329","latest.year_rank_customs.330","latest.value_rank_customs.330","latest.year_score_infrastructure.331","latest.value_score_infrastructure.331","latest.year_rank_infrastructure.332","latest.value_rank_infrastructure.332","latest.year_score_international_shipm.333","latest.value_score_international_shipm.333","latest.year_rank_international_shipme.334","latest.value_rank_international_shipme.334","latest.year_score_logistics_competenc.335","latest.value_score_logistics_competenc.335","latest.year_rank_logistics_competence.336","latest.value_rank_logistics_competence.336","latest.year_score_tracking_and_tracin.337","latest.value_score_tracking_and_tracin.337","latest.year_rank_tracking_and_tracing.338","latest.value_rank_tracking_and_tracing.338","latest.year_score_timeliness_on_intl_.339","latest.value_score_timeliness_on_intl_.339","latest.year_rank_timeliness_on_intl_s.340","latest.value_rank_timeliness_on_intl_s.340"
"Costa Rica","CRI",2018,2.79,2018,2.74,2018,2.63,2018,2.95,2018,73,2018,79,2018,58,2018,90,2018,55.96,2018,2.63,2018,70,2018,2.49,2018,84,2018,2.78,2018,76,2018,2.7,2018,79,2018,2.96,2018,67,2018,3.16,2018,83
"Cuba","CUB",2018,2.2,2018,2.23,2018,2,2018,2.39,2018,146,2018,152,2018,128,2018,159,2018,37.39,2018,2.03,2018,143,2018,2.04,2018,139,2018,2.27,2018,137,2018,2.2,2018,143,2018,2.15,2018,147,2018,2.46,2018,147
"Cyprus","CYP",2018,3.15,2018,3.1,2018,2.85,2018,3.45,2018,45,2018,49,2018,31,2018,64,2018,67.18,2018,3.05,2018,37,2018,2.89,2018,55,2018,3.15,2018,50,2018,3,2018,53,2018,3.15,2018,48,2018,3.62,2018,45
"Czech Republic","CZE",2018,3.68,2018,3.62,2018,3.53,2018,3.83,2018,22,2018,26,2018,17,2018,28,2018,83.72,2018,3.29,2018,30,2018,3.46,2018,26,2018,3.75,2018,10,2018,3.72,2018,20,2018,3.7,2018,24,2018,4.13,2018,16
"Germany","DEU",2018,4.2,2018,4.19,2018,4.16,2018,4.25,2018,1,2018,1,2018,1,2018,1,2018,100,2018,4.09,2018,1,2018,4.37,2018,1,2018,3.86,2018,4,2018,4.31,2018,1,2018,4.24,2018,2,2018,4.39,2018,3
"Djibouti","DJI",2018,2.63,2018,2.43,2018,2.37,2018,2.9,2018,90,2018,126,2018,61,2018,130,2018,51.06,2018,2.35,2018,113,2018,2.79,2018,60,2018,2.45,2018,118,2018,2.25,2018,135,2018,2.85,2018,72,2018,3.15,2018,85
"Denmark","DNK",2018,3.99,2018,3.92,2018,3.82,2018,4.16,2018,8,2018,11,2018,2,2018,17,2018,93.45,2018,3.92,2018,4,2018,3.96,2018,17,2018,3.53,2018,19,2018,4.01,2018,9,2018,4.18,2018,3,2018,4.41,2018,2
"Dominican Republic","DOM",2018,2.66,2018,2.68,2018,2.49,2018,2.84,2018,87,2018,86,2018,66,2018,115,2018,51.91,2018,2.41,2018,103,2018,2.36,2018,105,2018,2.77,2018,77,2018,2.44,2018,108,2018,2.97,2018,65,2018,2.98,2018,101
"Algeria","DZA",2018,2.45,2018,2.56,2018,2.21,2018,2.69,2018,117,2018,107,2018,85,2018,143,2018,45.23,2018,2.13,2018,138,2018,2.42,2018,96,2018,2.39,2018,122,2018,2.39,2018,113,2018,2.6,2018,103,2018,2.76,2018,124
"Ecuador","ECU",2018,2.88,2018,2.82,2018,2.72,2018,3.05,2018,62,2018,70,2018,52,2018,79,2018,58.78,2018,2.8,2018,48,2018,2.72,2018,69,2018,2.75,2018,80,2018,2.75,2018,70,2018,3.07,2018,55,2018,3.19,2018,75
