"country","countryiso3","total_population.40942_2014","total_population.40942_2015","total_population.40942_2016","total_population.40942_2017","%_poverty_gap_at_national.40916_2014","%_poverty_gap_at_national.40916_2015","%_poverty_headcount_ratio.40918_2014","%_poverty_headcount_ratio.40918_2015","%_poverty_headcount_ratio.40918_2016","%_poverty_headcount_ratio.40918_2017","%_rural_poverty_gap_at_na.40921_2014","%_rural_poverty_gap_at_na.40921_2015","% of rural population_rur.40923_2014","% of rural population_rur.40923_2015","%_urban_poverty_gap_at_na.40930_2014","%_urban_poverty_gap_at_na.40930_2015","% of urban population_urb.40932_2014","% of urban population_urb.40932_2015","second 20%_income_share_h.40899_2014","second 20%_income_share_h.40899_2015","second 20%_income_share_h.40899_2016","second 20%_income_share_h.40899_2017","third 20%_income_share_he.40900_2014","third 20%_income_share_he.40900_2015","third 20%_income_share_he.40900_2016","third 20%_income_share_he.40900_2017","fourth 20%_income_share_h.40901_2014","fourth 20%_income_share_h.40901_2015","fourth 20%_income_share_h.40901_2016","fourth 20%_income_share_h.40901_2017","highest 20%_income_share_.40902_2014","highest 20%_income_share_.40902_2015","highest 20%_income_share_.40902_2016","highest 20%_income_share_.40902_2017","highest 10%_income_share_.40903_2014","highest 10%_income_share_.40903_2015","highest 10%_income_share_.40903_2016","highest 10%_income_share_.40903_2017","lowest 10%_income_share_h.40904_2014","lowest 10%_income_share_h.40904_2015","lowest 10%_income_share_h.40904_2016","lowest 10%_income_share_h.40904_2017","lowest 20%_income_share_h.40905_2014","lowest 20%_income_share_h.40905_2015","lowest 20%_income_share_h.40905_2016","lowest 20%_income_share_h.40905_2017","ratio_poverty_headcount_r.40906_2014","ratio_poverty_headcount_r.40906_2015","ratio_poverty_headcount_r.40906_2016","ratio_poverty_headcount_r.40906_2017","%_poverty_gap_at_$1.90_a_.40909_2014","%_poverty_gap_at_$1.90_a_.40909_2015","%_poverty_gap_at_$1.90_a_.40909_2016","%_poverty_gap_at_$1.90_a_.40909_2017","world bank estimate_gini_.40910_2014","world bank estimate_gini_.40910_2015","world bank estimate_gini_.40910_2016","world bank estimate_gini_.40910_2017","% of population_poverty_h.40911_2014","% of population_poverty_h.40911_2015","% of population_poverty_h.40911_2016","% of population_poverty_h.40911_2017","%_poverty_gap_at_$3.20_a_.40912_2014","%_poverty_gap_at_$3.20_a_.40912_2015","%_poverty_gap_at_$3.20_a_.40912_2016","%_poverty_gap_at_$3.20_a_.40912_2017","millions_number_of_poor_a.40920_2014","millions_number_of_poor_a.40920_2015","millions_number_of_poor_a.40920_2016","millions_number_of_poor_a.40920_2017","%_poverty_headcount_ratio.40925_2014","%_poverty_headcount_ratio.40925_2015","%_poverty_headcount_ratio.40925_2016","%_poverty_headcount_ratio.40925_2017","%_poverty_gap_at_$5.50_a_.40926_2014","%_poverty_gap_at_$5.50_a_.40926_2015","%_poverty_gap_at_$5.50_a_.40926_2016","%_poverty_gap_at_$5.50_a_.40926_2017","mean_survey_mean_consumpt.40934_2014","mean_survey_mean_consumpt.40934_2015","mean_survey_mean_consumpt.40934_2016","mean_survey_mean_consumpt.40934_2017","%_annualized_average_grow.40935_2014","%_annualized_average_grow.40935_2015","%_annualized_average_grow.40935_2016","%_annualized_average_grow.40935_2017","mean_survey_mean_consumpt.40936_2014","mean_survey_mean_consumpt.40936_2015","mean_survey_mean_consumpt.40936_2016","mean_survey_mean_consumpt.40936_2017","%_annualized_average_grow.40937_2014","%_annualized_average_grow.40937_2015","%_annualized_average_grow.40937_2016","%_annualized_average_grow.40937_2017"
"Greenland","GRL",56295,56114,56186,56171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","GTM",15923559,16252429,16582469,16913503,NA,NA,59.3,NA,NA,NA,NA,NA,76.1,NA,NA,NA,42.2,NA,8.6,NA,NA,NA,13.2,NA,NA,NA,20.1,NA,NA,NA,53.6,NA,NA,NA,38.1,NA,NA,NA,1.7,NA,NA,NA,4.5,NA,NA,NA,8.7,NA,NA,NA,2.5,NA,NA,NA,48.3,NA,NA,NA,24.2,NA,NA,NA,8.2,NA,NA,NA,1.4,NA,NA,NA,48.8,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam","GUM",160967,161797,162896,164229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guyana","GUY",763393,768514,773303,777859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hong Kong SAR, China","HKG",7229500,7291300,7336600,7391700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","HND",8809216,8960829,9112867,9265067,49.3,NA,62.8,63.8,60.9,64.3,51.1,NA,65,NA,47.7,NA,61,NA,7.7,7.8,7.8,NA,12.9,13.2,13.3,NA,20.7,21.4,21.5,NA,55.1,54,54.2,NA,38.1,37,36.8,NA,1.3,1.3,1,NA,3.6,3.6,3.2,NA,15.9,16.2,16,NA,5.4,5.6,6.3,NA,50.4,49.6,50,NA,31.8,32.2,30,NA,13.1,13.3,13.1,NA,1.4,1.4,1.5,NA,53.9,53.8,50.4,NA,25.8,26.1,24.6,NA,NA,NA,2.28,NA,NA,NA,1.17,NA,NA,NA,8.28,NA,NA,NA,-1.95,NA
"Croatia","HRV",4238389,4203604,4174349,4125700,NA,NA,20,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,13.1,NA,NA,17.5,17.8,NA,NA,23.6,23.5,NA,NA,39.1,38.4,NA,NA,23.9,23.2,NA,NA,2.6,2.7,NA,NA,7.1,7.3,NA,NA,1,0.7,NA,NA,0.6,0.3,NA,NA,32.1,31.1,NA,NA,1.9,1.2,NA,NA,0.9,0.6,NA,NA,0,0,NA,NA,6.2,5.5,NA,NA,2.1,1.6,NA,NA,NA,9.49,NA,NA,NA,0.47,NA,NA,NA,18.71,NA,NA,NA,-0.12,NA,NA
"Haiti","HTI",10572466,10711061,10847334,10981229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","HUN",9866468,9843028,9814023,9781127,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,13.3,NA,NA,17.6,17.6,NA,NA,22.9,22.9,NA,NA,38.7,38.4,NA,NA,24,23.8,NA,NA,2.9,3,NA,NA,7.6,7.8,NA,NA,0.7,0.5,NA,NA,0.4,0.3,NA,NA,30.9,30.4,NA,NA,1,1,NA,NA,0.6,0.5,NA,NA,0.1,0,NA,NA,3.2,2.7,NA,NA,1.2,1.1,NA,NA,NA,11.19,NA,NA,NA,1.19,NA,NA,NA,21.33,NA,NA,NA,1.73,NA,NA
"Indonesia","IDN",255131116,258162113,261115456,263991379,1.8,NA,11.3,11.2,10.9,10.6,2.3,NA,14.2,NA,1.3,NA,8.3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,7.2,6.5,5.7,1.2,1.2,1,0.9,NA,NA,NA,NA,37.8,33.1,30.9,27.2,10.2,9,8.3,7.1,20.1,18.5,16.9,15.1,69,67,62.3,58.6,29,27,24.7,22.7,NA,2.51,NA,2.75,NA,NA,NA,4.77,NA,5.68,NA,6.24,NA,NA,NA,4.79
"Isle of Man","IMN",82590,83167,83737,84287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","IND",1293859294,1309053980,1324171354,1339180127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,NA,NA,NA,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","IRL",4657740,4701957,4755335,4813608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,12.9,NA,NA,16.7,16.9,NA,NA,22.5,22.1,NA,NA,40.1,40.2,NA,NA,24.9,25.4,NA,NA,3.1,3.1,NA,NA,7.9,8,NA,NA,0.5,0.2,NA,NA,0.3,0.2,NA,NA,31.9,31.8,NA,NA,0.5,0.5,NA,NA,0.4,0.3,NA,NA,0,0,NA,NA,1,0.7,NA,NA,0.5,0.4,NA,NA,NA,24.13,NA,NA,NA,1.69,NA,NA,NA,46.29,NA,NA,NA,1.14,NA,NA
"Iran, Islamic Rep.","IRN",78411092,79360487,80277428,81162788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,15.3,NA,NA,NA,21.9,NA,NA,NA,45.6,NA,NA,NA,29.8,NA,NA,NA,2.4,NA,NA,NA,6.3,NA,NA,NA,0.2,NA,NA,NA,0,NA,NA,NA,38.8,NA,NA,NA,2.5,NA,NA,NA,0.5,NA,NA,NA,0.2,NA,NA,NA,10.5,NA,NA,NA,2.8,NA,NA,NA,7.02,NA,NA,NA,1.25,NA,NA,NA,16.34,NA,NA,NA,-1.27,NA,NA,NA
"Iraq","IRQ",35006080,36115649,37202572,38274618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland","ISL",327386,330815,335439,341284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA,17.6,NA,NA,NA,21.9,NA,NA,NA,37.3,NA,NA,NA,23.5,NA,NA,NA,3.9,NA,NA,NA,9.4,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,27.8,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.2,NA,NA,NA,0,NA,NA,NA,29.04,NA,NA,NA,-0.13,NA,NA,NA,50.15,NA,NA,NA,-0.47,NA,NA,NA
"Israel","ISR",8215700,8380100,8546000,8712400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","ITA",60789140,60730582,60627498,60551416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,12.1,NA,NA,17.2,17.2,NA,NA,23.3,23.5,NA,NA,41,41.3,NA,NA,25.5,25.7,NA,NA,2,1.8,NA,NA,6.2,5.9,NA,NA,1.2,2,NA,NA,0.9,1.4,NA,NA,34.7,35.4,NA,NA,1.7,2.5,NA,NA,1.1,1.7,NA,NA,0.7,1.2,NA,NA,2.7,3.5,NA,NA,1.6,2.3,NA,NA,NA,17.85,NA,NA,NA,-2.13,NA,NA,NA,40.19,NA,NA,NA,-1.08,NA,NA
"Jamaica","JAM",2862087,2871934,2881355,2890299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","JOR",8809306,9159302,9455802,9702353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japan","JPN",127276000,127141000,126994511,126785797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan","KAZ",17288285,17542806,17794055,18037646,0.4,0.3,2.8,2.7,NA,NA,NA,NA,4.7,4.4,NA,NA,1.3,1.3,13.7,13.7,NA,NA,17.3,17.2,NA,NA,22.2,22.2,NA,NA,37,36.9,NA,NA,22.6,22.6,NA,NA,4.3,4.3,NA,NA,9.8,10,NA,NA,0,0,NA,NA,0,0,NA,NA,27,26.9,NA,NA,0.2,0.3,NA,NA,0,0.1,NA,NA,0,0,NA,NA,6.4,7.7,NA,NA,1,1.1,NA,NA,NA,6.72,NA,NA,NA,4.09,NA,NA,NA,11.36,NA,NA,NA,3.47,NA,NA
"Kenya","KEN",46024250,47236259,48461567,49699862,NA,NA,NA,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,14.6,NA,NA,NA,21.5,NA,NA,NA,47.5,NA,NA,NA,31.6,NA,NA,NA,2.4,NA,NA,NA,6.2,NA,NA,NA,36.8,NA,NA,NA,11.6,NA,NA,NA,40.8,NA,NA,NA,66.2,NA,NA,NA,28.4,NA,NA,NA,17.8,NA,NA,NA,86.5,NA,NA,NA,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","KGZ",5835500,5956900,6079500,6201500,5.4,NA,30.6,32.1,25.4,NA,NA,NA,32.6,33.6,NA,NA,26.9,29.3,13.8,13.4,13.9,NA,17.2,16.8,17.1,NA,22,21.5,21.8,NA,37,38.8,37.2,NA,22.9,24.8,22.9,NA,4.4,4.1,4.4,NA,10,9.5,10,NA,1.3,2.5,1.4,NA,0.2,0.5,0.2,NA,26.8,29,26.8,NA,19.7,23.2,19.1,NA,3.5,4.7,3.4,NA,0.1,0.2,0.1,NA,66.6,69.9,67.1,NA,20.9,23.1,20.9,NA,NA,NA,3.16,NA,NA,NA,0.59,NA,NA,NA,5.29,NA,NA,NA,-0.03,NA
"Cambodia","KHM",15270790,15517635,15762370,16005373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kiribati","KIR",110458,112407,114395,116398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Kitts and Nevis","KNA",53739,54288,54821,55345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",50746659,51014947,51245707,51466201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo","KSV",1821800,1801800,1816200,1830700,NA,NA,21.1,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,14,14,NA,17.8,17.7,17.7,NA,22.7,22.7,22.7,NA,36.5,36.1,36.1,NA,22,21.5,21.7,NA,3.7,4,3.8,NA,9.1,9.5,9.5,NA,0.7,0.4,0.6,NA,0.2,0.1,0.1,NA,27.3,26.4,26.5,NA,4.3,2.9,3.1,NA,1,0.7,0.6,NA,0,0,0,NA,25.3,21.5,20.8,NA,6.2,4.8,4.7,NA,NA,5.17,NA,NA,NA,3.5,NA,NA,NA,8.79,NA,NA,NA,1.57,NA,NA
"Kuwait","KWT",3782450,3935794,4052584,4136528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lao PDR","LAO",6576397,6663967,6758353,6858160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon","LBN",5603279,5851479,6006668,6082357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liberia","LBR",4390737,4499621,4613823,4731906,NA,NA,54.1,NA,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,16.5,NA,NA,NA,22.3,NA,NA,NA,41.3,NA,NA,NA,26,NA,NA,NA,3.2,NA,NA,NA,7.7,NA,NA,NA,38.6,NA,NA,NA,11.7,NA,NA,NA,33.2,NA,NA,NA,73.8,NA,NA,NA,30.7,NA,NA,NA,1.7,NA,NA,NA,93,NA,NA,NA,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Libya","LBY",6204108,6234955,6293253,6374616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Lucia","LCA",176421,177206,178015,178844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein","LIE",37127,37403,37666,37922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sri Lanka","LKA",20771000,20966000,21203000,21444000,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,14.5,NA,NA,NA,20.3,NA,NA,NA,47.6,NA,NA,NA,32.9,NA,NA,NA,2.9,NA,NA,NA,7,NA,NA,NA,0.7,NA,NA,NA,0.1,NA,NA,NA,39.8,NA,NA,NA,9.5,NA,NA,NA,1.8,NA,NA,NA,0.2,NA,NA,NA,39,NA,NA,NA,11.1,NA,NA,NA,3.98,NA,NA,NA,4.8,NA,NA,NA,8.99,NA,NA,NA,5.28,NA
"Lesotho","LSO",2145785,2174645,2203821,2233339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","LTU",2932367,2904910,2868231,2827721,NA,NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,11.6,NA,NA,16,15.9,NA,NA,22.3,22.1,NA,NA,44.1,44.1,NA,NA,28.9,28.6,NA,NA,2.1,2.1,NA,NA,6,6.1,NA,NA,1.2,0.7,NA,NA,0.7,0.5,NA,NA,37.7,37.4,NA,NA,2.7,1.5,NA,NA,1.2,0.8,NA,NA,0,0,NA,NA,5,4.2,NA,NA,2.3,1.6,NA,NA,NA,10.91,NA,NA,NA,6.65,NA,NA,NA,24.79,NA,NA,NA,8.1,NA,NA
