"country","countryiso3","SP.ADO.TFRT_2013","SP.ADO.TFRT_2014","SP.ADO.TFRT_2015","SP.ADO.TFRT_2016","SP.ADO.TFRT_2017","SP.ADO.TFRT_2018"
"OECD members","OED",25.9942817578722,25.1505591961854,24.3319579806427,23.5198637888166,22.7279228817968,22.0990651220245
"Oman","OMN",14.6056,14.2182,13.8308,13.4434,13.056,12.6964
"Other small states","OSS",64.8203973722478,64.1005351368524,63.3341464928021,62.4731130718578,61.5514220823907,60.4489882118786
"Pacific island small states","PSS",49.5841947489655,49.7808273940131,49.9837323914172,50.1762967152454,50.4195006121864,50.5431962001075
"Pakistan","PAK",40.9644,40.4238,39.8832,39.3426,38.802,38.2106
"Panama","PAN",85.8544,84.8478,83.8412,82.8346,81.828,81.0386
"Papua New Guinea","PNG",55.7902,55.0064,54.2226,53.4388,52.655,51.982
"Paraguay","PRY",72.4424,71.9578,71.4732,70.9886,70.504,70.1824
"Peru","PER",61.2308,60.1436,59.0564,57.9692,56.882,55.9518
"Philippines","PHL",56.654,56.029,55.404,54.779,54.154,54.7592
"Poland","POL",13.574,12.815,12.056,11.297,10.538,10.1692
"Portugal","PRT",10.8072,10.2004,9.5936,8.9868,8.38,8.0012
"Post-demographic dividend","PST",15.7265650555508,14.9345679995352,14.1571417784183,13.3974612814477,12.6489661926784,12.0591187387328
"Pre-demographic dividend","PRE",117.468374216075,115.290490736471,113.141618546237,111.021390804945,108.928808496817,107.124923531955
"Puerto Rico","PRI",42.2948,38.9956,35.6964,32.3972,29.098,28.3068
"Qatar","QAT",10.9988,10.7296,10.4604,10.1912,9.922,9.5896
"Romania","ROU",36.491,36.421,36.351,36.281,36.211,35.535
"Russian Federation","RUS",25.2758,24.1316,22.9874,21.8432,20.699,19.6196
"Rwanda","RWA",40.2588,39.9726,39.6864,39.4002,39.114,38.852
"Samoa","WSM",27.378,26.505,25.632,24.759,23.886,23.2952
"Sao Tome and Principe","STP",99.2788,98.1116,96.9444,95.7772,94.61,93.3376
"Saudi Arabia","SAU",9.7928,9.1756,8.5584,7.9412,7.324,7.097
"Senegal","SEN",81.4258,79.2506,77.0754,74.9002,72.725,70.716
"Serbia","SRB",17.9524,17.1408,16.3292,15.5176,14.706,14.1444
"Seychelles","SYC",61.4572,61.6054,61.7536,61.9018,62.05,61.2244
"Sierra Leone","SLE",123.8392,121.0864,118.3336,115.5808,112.828,110.2282
"Singapore","SGP",3.8332,3.7574,3.6816,3.6058,3.53,3.5134
"Slovak Republic","SVK",23.108,23.752,24.396,25.04,25.684,25.9352
"Slovenia","SVN",4.5392,4.3484,4.1576,3.9668,3.776,3.6524
"Small states","SST",62.3050846572791,61.5494105543845,60.7619225425883,59.9061826026673,59.0154083525455,58.004025723721
"Solomon Islands","SLB",78.003,78.003,78.003,78.003,78.003,78.4116
"Somalia","SOM",108.3178,106.2596,104.2014,102.1432,100.085,97.6452
"South Africa","ZAF",71.1624,70.3488,69.5352,68.7216,67.908,67.8488
"South Asia","SAS",35.5715016377883,33.1144994870789,30.6349804819207,28.1174953037681,25.584972419587,24.5230468897055
"South Asia (IDA & IBRD)","TSA",35.5715016377883,33.1144994870789,30.6349804819207,28.1174953037681,25.584972419587,24.5230468897055
"South Sudan","SSD",74.8672,71.6604,68.4536,65.2468,62.04,59.4332
"Spain","ESP",8.7226,8.4732,8.2238,7.9744,7.725,7.4904
"Sri Lanka","LKA",21.6628,21.4786,21.2944,21.1102,20.926,20.6904
"St. Lucia","LCA",43.4384,42.7128,41.9872,41.2616,40.536,39.8792
"St. Vincent and the Grenadines","VCT",53.4104,52.3128,51.2152,50.1176,49.02,48.1898
"Sub-Saharan Africa","SSF",110.049607180282,108.206223869023,106.385944010197,104.575840549692,102.788585175762,101.220225106526
"Sub-Saharan Africa (excluding high income)","SSA",110.134459288987,108.284888195801,106.459427849524,104.645439443849,102.855177339806,101.284382425285
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",110.049607180282,108.206223869023,106.385944010197,104.575840549692,102.788585175762,101.220225106526
"Sudan","SDN",76.805,73.602,70.399,67.196,63.993,60.796
"Suriname","SUR",64.723,63.956,63.189,62.422,61.655,60.6396
"Sweden","SWE",5.3456,5.2782,5.2108,5.1434,5.076,5.1226
"Switzerland","CHE",3.355,3.207,3.059,2.911,2.763,2.6438
"Syrian Arab Republic","SYR",42.3488,41.4096,40.4704,39.5312,38.592,37.9512
"Tajikistan","TJK",51.7576,53.0872,54.4168,55.7464,57.076,57.4706
"Tanzania","TZA",122.205,121.25,120.295,119.34,118.385,116.926
"Thailand","THA",50.232,48.901,47.57,46.239,44.908,44.6888
"Timor-Leste","TLS",37.8378,36.8246,35.8114,34.7982,33.785,32.364
"Togo","TGO",91.2078,90.6786,90.1494,89.6202,89.091,88.6878
"Tonga","TON",16.214,15.826,15.438,15.05,14.662,14.3302
"Trinidad and Tobago","TTO",33.862,32.919,31.976,31.033,30.09,29.3338
"Tunisia","TUN",7.6402,7.6904,7.7406,7.7908,7.841,7.85
"Turkey","TUR",30.3062,29.3694,28.4326,27.4958,26.559,25.5558
"Turkmenistan","TKM",26.0476,25.6402,25.2328,24.8254,24.418,24.2324
"Uganda","UGA",129.2776,126.6672,124.0568,121.4464,118.836,116.0714
"Ukraine","UKR",27.1046,26.2562,25.4078,24.5594,23.711,23.0026
"United Arab Emirates","ARE",14.7252,12.6804,10.6356,8.5908,6.546,5.8868
"United Kingdom","GBR",17.4572,16.4354,15.4136,14.3918,13.37,12.641
"United States","USA",26.3216,24.7062,23.0908,21.4754,19.86,18.5562
"Upper middle income","UMC",34.0019909949753,33.7867303863218,33.5797326859672,33.3386662354818,33.0668699154235,32.8222487965102
"Uruguay","URY",60.2678,59.8826,59.4974,59.1122,58.727,58.2386
"Uzbekistan","UZB",23.79,23.79,23.79,23.79,23.79,24.2094
"Vanuatu","VUT",51.9226,51.3012,50.6798,50.0584,49.437,48.9082
"Venezuela, RB","VEN",87.3234,86.8268,86.3302,85.8336,85.337,84.9792
"Vietnam","VNM",35.0346,34.0082,32.9818,31.9554,30.929,29.1518
"Virgin Islands (U.S.)","VIR",42.375,39.003,35.631,32.259,28.887,27.6482
"West Bank and Gaza","PSE",59.1868,57.5816,55.9764,54.3712,52.766,51.8828
"World","WLD",45.915238874295,45.0865775751551,44.2554466514159,43.3599550064251,42.4535038244361,42.0356033271255
"Yemen, Rep.","YEM",66.208,64.744,63.28,61.816,60.352,59.1624
"Zambia","ZMB",133.3792,130.0624,126.7456,123.4288,120.112,118.3048
"Zimbabwe","ZWE",104.3014,99.7598,95.2182,90.6766,86.135,83.2486
