"country","countryiso3","region","time_since_first_case","time_since_first_death","time_since_first_recovered"
"Mauritius","MUS",NA,27,24,10
"Zambia","ZMB",NA,27,12,11
"Bahamas, The","BHS",NA,26,NA,NA
"Chad","TCD",NA,26,NA,7
"El Salvador","SLV",NA,26,14,10
"Fiji","FJI",NA,26,NA,NA
"Nicaragua","NIC",NA,26,18,2
"Angola","AGO",NA,25,16,14
"Cabo Verde","CPV",NA,25,21,8
"Haiti","HTI",NA,25,9,16
"Madagascar","MDG",NA,25,NA,9
"Niger","NER",NA,25,20,9
"Papua New Guinea","PNG",NA,25,NA,NA
"Zimbabwe","ZWE",NA,25,22,NA
"Cape Verde","CPV",NA,24,NA,NA
"East Timor","TLS",NA,24,NA,NA
"Eritrea","ERI",NA,24,NA,NA
"Uganda","UGA",NA,24,NA,3
"Bahamas","BHS",NA,23,13,21
"Dominica","DMA",NA,23,NA,8
"Gambia","GMB",NA,23,22,13
"Grenada","GRD",NA,23,NA,NA
"Mozambique","MOZ",NA,23,NA,10
"Syria","SYR",NA,23,16,10
"Timor-Leste","TLS",NA,23,NA,4
"Belize","BLZ",NA,22,8,NA
"Laos","LAO",NA,21,NA,NA
"Libya","LBY",NA,21,12,14
"Diamond Princess",NA,NA,20,20,20
"Guinea-Bissau","GNB",NA,20,NA,NA
"Mali","MLI",NA,20,16,10
"Saint Kitts and Nevis","KNA",NA,20,NA,NA
"West Bank and Gaza","PSE",NA,19,19,19
"Burma","MMR",NA,18,14,5
"MS Zaandam",NA,NA,17,13,NA
"Botswana","BWA",NA,15,14,NA
"Burundi","BDI",NA,14,NA,NA
"Sierra Leone","SLE",NA,14,NA,NA
"Malawi","MWI",NA,12,7,NA
"South Sudan","SSD",NA,9,NA,NA
"Western Sahara","ESH",NA,9,NA,NA
"Sao Tome and Principe","STP",NA,8,NA,NA
"Yemen","YEM",NA,4,NA,NA
