"country","countryiso3","IS.AIR.DPRT_2013","IS.AIR.DPRT_2014","IS.AIR.DPRT_2015","IS.AIR.DPRT_2016","IS.AIR.DPRT_2017","IS.AIR.DPRT_2018"
"Thailand","THA",298450,338053.981662592,392664,413880,448477,475886.496
"Togo","TGO",11484,10599.370360014,9947,10725,10485,11559
"Tonga","TON",NA,NA,NA,NA,NA,NA
"Trinidad and Tobago","TTO",36564,36216,35127,29892,32589,32770
"Tunisia","TUN",48804,60419,35540,38631,39856,41446
"Turkey","TUR",568212.396628194,628104,706067,743673,742260,772925.545
"Turkmenistan","TKM",12871.0166080453,6068.32,8548,12890,16843,18184
"Uganda","UGA",8616,6864,2332,3828,1953,4832
"Ukraine","UKR",58474.09,47927.4,45688,55261,63315,66712
"United Arab Emirates","ARE",327076,352224,437638,463947,459137,455957
"United Kingdom","GBR",1052640,1064175.7,1104117,1180312,1182696,1242985
"United States","USA",9745498,9556324,9498668,9640591,9639096,9879630
"Upper middle income","UMC",8549480.28607006,9253655.91403075,9770423,10235553,10888039.138,11422864.8652514
"Uruguay","URY",NA,NA,NA,NA,NA,NA
"Uzbekistan","UZB",23962,23149,22579,21486,21730,21514
"Vanuatu","VUT",12144,10848,10425,9037,12287,11723
"Venezuela, RB","VEN",92813,90235,73509,64058,43138,24986
"Vietnam","VNM",149527.817,167386.363,205217,248580,264548,283787
"World","WLD",31464398.8821721,32339781.9790769,33362839,34687965,35703836.058,36999575.182538
"Yemen, Rep.","YEM",16932,16056,5126,4538,1669,2342
"Zambia","ZMB",7997,8050,11130,8094,9020,734
"Zimbabwe","ZWE",27684,3730,4145,4231,3444,3444
